Code insee;Bénéficiaires;Communes;Projets;Détails;Coût ;"Subvention DSIL ""classique""";Subvention DSIL exceptionnelle;latitude;longitude
40162;Communes;Lucbardez et Bargues;Préservation du patrimoine;Remplacement porte de la sacristie de l’église;1 144,00 €;458,00 €;40,03%;43.968027;-0.403901
80130;Communes;Bovelles;Résilience Sanitaire;achat de deux générateurs d'ozone pour la désinfection des ERP;1 442,00 €;1 153,60 €;80,00%;49.88286;2.145252
71078;Communes;Chamilly;Hors thématiques DSIL relance;Achat d’un défibrillateur;2 165,00 €;1 083,00 €;50,02%;46.868027;4.684048
200070936;EPCI;CC Ponthieu Marqueterre;Transition écologique;rénovation thermique de l’école de Vironchaux;2 675,00 €;2 140,00 €;80,00%;50.26659611514921;1.6667201181545472
1151;Communes;Druillat;Transition écologique;Remplacement de l’éclairage classique de la salle polyvalente par des Leds;2 715,00 €;1 086,00 €;40,00%;46.0702012;5.303575
39026;Communes;Augerans;Hors thématiques DSIL relance;Restauration de l'escalier de la mairie;2 751,00 €;825,30 €;30,00%;47.018533;5.581088
39545;Communes;Le Vaudioux;Transition écologique;Eclairage en LED du sentier de la Planchette;2 850,95 €;712,74 €;25,00%;46.684299;5.929439
28341;Communes;Saint Jean de Rebervilliers;Transition écologique;Changement des radiateurs de la mairie;2 930,00 €;1 500,00 €;51,19%;48.6295531;1.2578651
18127;Communes;Lignières;Hors thématiques DSIL relance;Equipement en visio conférence de la salle de réunion de la MSAP;2 993,00 €;1 197,00 €;39,99%;46.7519482;2.1793672
15005;Communes;ANGLARDS DE SAINT-FLOUR;Transition écologique;Reconstruction périmètre cuve à gaz;3 066,00 €;1 533,00 €;50,00%;44.988856;3.168748
4,2052E+16;EPCI;"Communauté de Communes ""Charlieu Belmont Communauté""";Transition écologique;Rénovation thermique du Relais d’Assistantes Maternelles de Charlieu;3 085,00 €;617,00 €;20,00%;46.158361589152314;4.175523999999166
86254;Communes;SAULGE;Transition écologique;Installation de citernes (5 500 L et 2 300 L) de récupération des eaux pluviales sur des bâtiments communaux pour la préservation de la ressource en eau;3 292,00 €;2 018,00 €;61,30%;46.380059;0.872598
39065;Communes;Bonnefontaine;Transition écologique;Isolation thermique du logement communal (isolation des combles et remplacement de volets);3 298,05 €;989,42 €;30,00%;46.726354;5.747461
52305;Communes;MANDRES LA COTE;Transition écologique;Restauration d’une statue de l’église;3 495,00 €;1 398,00 €;40,00%;48.062084;5.335375
28257;Communes;Mondonville Saint Jean;Préservation du patrimoine;Remplacement de la porte de l’église;3 819,00 €;1 648,00 €;43,15%;48.3636852;1.8253032
15046;Communes;CHAUSSENAC;Préservation du patrimoine;réfection et mise en sécurité de la toiture de l'église;3 870,00 €;2 322,00 €;60,00%;45.174358;2.280291
28062;Communes;Broué;Transition écologique;Changement des menuiseries du local de dépôt de pain;4 048,00 €;2 000,00 €;49,41%;48.752971;1.524365
73049;Communes;Bonvillaret;Préservation du patrimoine;réfection d'un vitrail de la chapelle des Combes;4 050,00 €;1 000,00 €;24,69%;45.562724;6.301977
71470;Communes;Saint-Point;Transition écologique;Changement des huisseries des vestiaires de l’école;4 065,00 €;1 626,00 €;40,00%;46.338767;4.615649
68330;Communes;STRUETH;Résilience Sanitaire;Mise aux normes des branchements d’eaux usées de l’école;4 100,00 €;1 640,00 €;40,00%;47.582753;7.125181
97104;Communes;Baillif;Résilience Sanitaire;appel à projet covid -protocole rentrée 2020;4 213,87 €;3 371,00 €;80,00%;16.03427;-61.734809
40162;Communes;Lucbardez et Bargues;Préservation du patrimoine;Réfection de la toiture du lavoir;4 238,00 €;1 695,00 €;40,00%;43.968025;-0.403901
87149;Communes;Saint Hilaire la Treille;Résilience sanitaire;Extension du réseau AEP ;4 266,29 €;1 279,89 €;30,00%;46.25118;1.314529
80124;Communes;Bourseville;Transition écologique;rénovation thermique cantine – garderie;4 366,00 €;3 492,80 €;80,00%;50.102683;1.517892
40101;Communes;Gaas;Préservation du patrimoine;Mise en peinture des avant-toits de l'église;4 584,00 €;1 834,00 €;40,01%;43.612273;-1.039237
39240;Communes;Le Frasnois;Hors thématiques DSIL relance;Transformation de l'ancienne salle de catéchisme en bureau de l'Association de Gestion des Eaux du Lac d'Ilay;4 726,28 €;1 190,54 €;25,19%;46.630869;5.893321
39553;Communes;Le Vernois;Transition écologique;Travaux d'isolation du logement communal rue de la Florentine;4 945,12 €;1 483,54 €;30,00%;46.731721;5.592714
80130;Communes;Bovelles;Préservation du patrimoine;rénovation de l’orgue de l’église;4 977,54 €;3 982,03 €;80,00%;49.88284;2.145254
87116;Communes;Peyrat de Bellac;Résilience sanitaire;Création de points d’eau supplémentaires au groupe scolaire;5 067,10 €;1 520,13 €;30,00%;46.138674;1.025663
10233;Communes;Mery-sur-Seine;Transition écologique;Amélioration de la performance énergétique de l’école maternelle de Méry-sur-Seine;5 081,00 €;1 524,00 €;29,99%;48.510355;3.8924371
200090751;EPCI;CA GRAND CALAIS  TERRES ET MERS;Préservation du patrimoine;sécurisation ICEO pentagliss.;5 142,75 €;4 114,20 €;80,00%;50.94769367060129;1.850215974204759
80245;Communes;Domléger Longvillers;Préservation du patrimoine;rénovation du circuit électrique de l’église;5 222,00 €;4 177,55 €;80,00%;50.157789;2.085123
87018;Communes;Blond;Préservation du patrimoine;Protection de l’église contre les volatiles;5 225,90 €;1 567,77 €;30,00%;46.050156;1.012756
19222;Communes;Saint-Martin-la-Méanne;Résilience sanitaire;Dossier 2020 – Réhabilitation de la station d’épuration de Laborie;5 378,00 €;1 613,40 €;30,00%;45.168935;1.989958
70395;Communes;Oppenans;Transition écologique;Rénovation thermique du logement communal;5 390,00 €;1 617,00 €;30,00%;47.589045;6.381356
1423;Communes;Toussieux;Transition écologique;Acquisition et installation d’une chaudière à l’école;5 518,00 €;1 931,00 €;34,99%;45.957734;4.823449
28030;Communes;Beauche;Résilience Sanitaire;Réfection des pompes communales;5 523,00 €;4 000,00 €;72,42%;48.671066;0.994008
55175;Communes;ERIZE LA BRULEE;Transition écologique;Création d’un jardin-verger partagé au bord de la rivière Ezrule;5 555,00 €;3 333,00 €;60,00%;48.849197;5.28088
28341;Communes;Saint Jean de Rebervilliers;Transition écologique;Couverture et isolation d’un bâtiment de la mairie;5 601,00 €;1 200,00 €;21,42%;48.629553;1.257865
246000707;EPCI;CC DU VEXIN THELLE;Transition écologique;Economie d’énergie sur le gymnase St Exupéry à Chaumont en Vexin;5 678,00 €;3 406,80 €;60,00%;49.26813330809278;1.8894191147738775
62169;Communes;BOUVELINGHEM;Transition écologique;rénovation thermique et mise aux normes PMR de la mairie;5 845,36 €;1 461,34 €;25,00%;50.740132;2.041022
57572;Communes;Rémilly;Préservation du patrimoine;réfection du monument aux morts;5 940,00 €;2 970,00 €;50,00%;49.007593;6.389146
57634;Communes;SAULNY ;Préservation du patrimoine;remplacement de la zinguerie de l’église Saint-Brice;6 065,00 €;3 033,00 €;50,01%;49.157822;6.110138
28349;Communes;Saint Lucien;Transition écologique;Installation d’une climatisation dans la salle communale pour les personnes vulnérables;6 084,00 €;3 042,00 €;50,00%;48.645754;1.613557
39434;Communes;Poligny;Hors thématiques DSIL relance;Réfection de la plomberie des sanitaires et réfection de la zinguerie des bâtiment B et C de l'école Jacques Brel;6 126,62 €;2 144,32 €;35,00%;46.84034444;5.702182
81167;Communes;Miolles;Préservation du patrimoine;Travaux sur le clocher de l’église;6 133,60 €;3 680,00 €;60,00%;43.882955;2.549132
39434;Communes;Poligny;Hors thématiques DSIL relance;"Installation de panneaux ""capitale du comté"" et ""ville d'art""";6 240,34 €;1 872,10 €;30,00%;46.84036965657;5.702182
18127;Communes;Lignières;Hors thématiques DSIL relance;Réfection des sanitaires de l’école primaire;6 250,00 €;2 500,00 €;40,00%;46.7519481;2.1793673
28034;Communes;Berchères Saint Germain;Transition écologique;Rénovation du chauffage de l’épicerie;6 413,00 €;3 200,00 €;49,90%;48.536861;1.47485
1188;Communes;Illiat;Transition écologique;remplacement de la chaudière de l’Auberge;6 456,00 €;1 937,00 €;30,00%;46.189794;4.891758
39586;Communes;Aresches;Hors thématiques DSIL relance;Réfection d'un mur de la mairie suite à un éboulement;6 500,00 €;1 950,00 €;30,00%;46.901934;5.910752
87072;Communes;Glanges;Préservation du patrimoine;Restauration du batiment de la Mairie ;6 520,65 €;1 956,20 €;30,00%;45.666731;1.466552
1423;Communes;Toussieux;Préservation du patrimoine;Valorisation du patrimoine rural non protégé – Réfection portes Eglise;6 530,00 €;2 286,00 €;35,01%;45.9577341;4.8234492
85185;Communes;PUYRAVAULT;Préservation du patrimoine;rénovation de l’église – mise aux normes de sécurité et d’accessibilité;6 539,00 €;2 615,60 €;40,00%;46.373635;-1.081383
1424;Communes;Tramoyes;Transition écologique;Création d’un accès piéton vers le terrain de tennis;6 600,00 €;1 980,00 €;30,00%;45.874053;4.95663
